train_sites,test_site,model,experiment_type_x,mean_psi,prevalence_diff,c2st_auc,experiment_type_y,auc_drop,brier_change
cleveland+hungary+switzerland,va,lgbm,external_uci,0.987508,0.245000,0.926979,external_uci,0.083364,0.006878
cleveland+hungary+switzerland,va,lr,external_uci,0.987508,0.245000,0.926979,external_uci,-0.071129,-0.001389
cleveland+hungary+switzerland,va,rf,external_uci,0.987508,0.245000,0.926979,external_uci,0.081984,0.014082
cleveland+hungary+switzerland,va,xgb,external_uci,0.987508,0.245000,0.926979,external_uci,0.021978,0.026477
cleveland+hungary+va,switzerland,lgbm,external_uci,0.183985,0.440606,0.711726,external_uci,0.055000,0.117906
cleveland+hungary+va,switzerland,lr,external_uci,0.183985,0.440606,0.711726,external_uci,-0.010217,0.120177
cleveland+hungary+va,switzerland,rf,external_uci,0.183985,0.440606,0.711726,external_uci,0.043478,0.086706
cleveland+hungary+va,switzerland,xgb,external_uci,0.183985,0.440606,0.711726,external_uci,0.007826,0.125185
cleveland+switzerland+va,hungary,lgbm,external_uci,1.708978,0.283226,0.982250,external_uci,-0.034307,0.098361
cleveland+switzerland+va,hungary,lr,external_uci,1.708978,0.283226,0.982250,external_uci,0.022541,0.052934
cleveland+switzerland+va,hungary,rf,external_uci,1.708978,0.283226,0.982250,external_uci,0.005692,0.029621
cleveland+switzerland+va,hungary,xgb,external_uci,1.708978,0.283226,0.982250,external_uci,-0.051695,0.099936
cleveland,hungary,lgbm,external_uci,1.770753,0.098202,0.997966,external_uci,-0.010069,0.037529
cleveland,hungary,lr,external_uci,1.770753,0.098202,0.997966,external_uci,0.009042,0.311530
cleveland,hungary,rf,external_uci,1.770753,0.098202,0.997966,external_uci,0.012968,0.022001
cleveland,hungary,xgb,external_uci,1.770753,0.098202,0.997966,external_uci,-0.018526,0.041434
cleveland,switzerland,lgbm,external_uci,0.223586,0.476213,0.741416,external_uci,0.048478,0.135427
cleveland,switzerland,lr,external_uci,0.223586,0.476213,0.741416,external_uci,-0.008043,0.147718
cleveland,switzerland,rf,external_uci,0.223586,0.476213,0.741416,external_uci,0.057609,0.092071
cleveland,switzerland,xgb,external_uci,0.223586,0.476213,0.741416,external_uci,0.011087,0.138251
cleveland,va,lgbm,external_uci,1.246320,0.286254,1.000000,external_uci,0.098695,-0.001784
cleveland,va,lr,external_uci,1.246320,0.286254,1.000000,external_uci,-0.119951,0.014319
cleveland,va,rf,external_uci,1.246320,0.286254,1.000000,external_uci,0.076063,0.015226
cleveland,va,xgb,external_uci,1.246320,0.286254,1.000000,external_uci,0.052771,0.014969
hungary+switzerland+va,cleveland,lgbm,external_uci,1.464647,0.140930,0.974997,external_uci,-0.091600,0.165924
hungary+switzerland+va,cleveland,lr,external_uci,1.464647,0.140930,0.974997,external_uci,-0.176706,0.444897
hungary+switzerland+va,cleveland,rf,external_uci,1.464647,0.140930,0.974997,external_uci,-0.119109,0.111806
hungary+switzerland+va,cleveland,xgb,external_uci,1.464647,0.140930,0.974997,external_uci,-0.085606,0.161100
hungary,cleveland,lgbm,external_uci,1.655309,0.098202,1.000000,external_uci,-0.092522,0.064324
hungary,cleveland,lr,external_uci,1.655309,0.098202,1.000000,external_uci,-0.092700,0.328946
hungary,cleveland,rf,external_uci,1.655309,0.098202,1.000000,external_uci,-0.107265,0.055967
hungary,cleveland,xgb,external_uci,1.655309,0.098202,1.000000,external_uci,-0.101332,0.062762
hungary,switzerland,lgbm,external_uci,0.364510,0.574415,0.839785,external_uci,0.032717,0.167066
hungary,switzerland,lr,external_uci,0.364510,0.574415,0.839785,external_uci,0.037609,0.287667
hungary,switzerland,rf,external_uci,0.364510,0.574415,0.839785,external_uci,0.051087,0.074420
hungary,switzerland,xgb,external_uci,0.364510,0.574415,0.839785,external_uci,-0.025870,0.166197
hungary,va,lgbm,external_uci,0.373666,0.384456,0.925449,external_uci,0.080139,0.052332
hungary,va,lr,external_uci,0.373666,0.384456,0.925449,external_uci,-0.077183,0.056921
hungary,va,rf,external_uci,0.373666,0.384456,0.925449,external_uci,0.065601,0.024550
hungary,va,xgb,external_uci,0.373666,0.384456,0.925449,external_uci,0.030400,0.041099
switzerland,cleveland,lgbm,external_uci,0.341869,0.476213,0.746013,external_uci,-0.197101,0.269361
switzerland,cleveland,lr,external_uci,0.341869,0.476213,0.746013,external_uci,-0.161352,0.390262
switzerland,cleveland,rf,external_uci,0.341869,0.476213,0.746013,external_uci,-0.182234,0.111816
switzerland,cleveland,xgb,external_uci,0.341869,0.476213,0.746013,external_uci,-0.185755,0.257056
switzerland,hungary,lgbm,external_uci,0.733830,0.574415,0.842747,external_uci,-0.154163,0.305639
switzerland,hungary,lr,external_uci,0.733830,0.574415,0.842747,external_uci,-0.012912,0.424450
switzerland,hungary,rf,external_uci,0.733830,0.574415,0.842747,external_uci,-0.116171,0.105830
switzerland,hungary,xgb,external_uci,0.733830,0.574415,0.842747,external_uci,-0.134669,0.279790
switzerland,va,lgbm,external_uci,0.209082,0.189959,0.732675,external_uci,-0.110083,0.055483
switzerland,va,lr,external_uci,0.209082,0.189959,0.732675,external_uci,-0.098304,0.041483
switzerland,va,rf,external_uci,0.209082,0.189959,0.732675,external_uci,-0.059613,0.030676
switzerland,va,xgb,external_uci,0.209082,0.189959,0.732675,external_uci,-0.071390,0.066282
va,cleveland,lgbm,external_uci,2.271378,0.286254,1.000000,external_uci,-0.142794,0.149911
va,cleveland,lr,external_uci,2.271378,0.286254,1.000000,external_uci,-0.177013,0.343638
va,cleveland,rf,external_uci,2.271378,0.286254,1.000000,external_uci,-0.136524,0.086185
va,cleveland,xgb,external_uci,2.271378,0.286254,1.000000,external_uci,-0.136865,0.135359
va,hungary,lgbm,external_uci,0.711510,0.384456,0.945216,external_uci,-0.035511,0.080227
va,hungary,lr,external_uci,0.711510,0.384456,0.945216,external_uci,0.025551,0.221522
va,hungary,rf,external_uci,0.711510,0.384456,0.945216,external_uci,-0.003290,0.039859
va,hungary,xgb,external_uci,0.711510,0.384456,0.945216,external_uci,-0.041257,0.085240
va,switzerland,lgbm,external_uci,0.199771,0.189959,0.750517,external_uci,-0.064565,0.060983
va,switzerland,lr,external_uci,0.199771,0.189959,0.750517,external_uci,0.033261,0.033920
va,switzerland,rf,external_uci,0.199771,0.189959,0.750517,external_uci,-0.023913,0.148182
va,switzerland,xgb,external_uci,0.199771,0.189959,0.750517,external_uci,-0.053043,0.065401
cleveland+hungary+switzerland+va,kaggle,lgbm,external_kaggle_uci,0.626908,0.058586,0.935372,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,lgbm,external_kaggle_uci,0.626908,0.058586,0.935372,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,lr,external_kaggle_uci,0.626908,0.058586,0.935372,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,lr,external_kaggle_uci,0.626908,0.058586,0.935372,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,rf,external_kaggle_uci,0.626908,0.058586,0.935372,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,rf,external_kaggle_uci,0.626908,0.058586,0.935372,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,xgb,external_kaggle_uci,0.626908,0.058586,0.935372,external_kaggle_uci,,
cleveland+hungary+switzerland+va,kaggle,xgb,external_kaggle_uci,0.626908,0.058586,0.935372,external_kaggle_uci,,
cleveland,kaggle,lgbm,external_kaggle_uci,0.691401,0.035929,0.862732,external_kaggle_uci,,
cleveland,kaggle,lgbm,external_kaggle_uci,0.691401,0.035929,0.862732,external_kaggle_uci,,
cleveland,kaggle,lr,external_kaggle_uci,0.691401,0.035929,0.862732,external_kaggle_uci,,
cleveland,kaggle,lr,external_kaggle_uci,0.691401,0.035929,0.862732,external_kaggle_uci,,
cleveland,kaggle,rf,external_kaggle_uci,0.691401,0.035929,0.862732,external_kaggle_uci,,
cleveland,kaggle,rf,external_kaggle_uci,0.691401,0.035929,0.862732,external_kaggle_uci,,
cleveland,kaggle,xgb,external_kaggle_uci,0.691401,0.035929,0.862732,external_kaggle_uci,,
cleveland,kaggle,xgb,external_kaggle_uci,0.691401,0.035929,0.862732,external_kaggle_uci,,
hungary,kaggle,lgbm,external_kaggle_uci,0.393522,0.134130,0.880913,external_kaggle_uci,,
hungary,kaggle,lgbm,external_kaggle_uci,0.393522,0.134130,0.880913,external_kaggle_uci,,
hungary,kaggle,lr,external_kaggle_uci,0.393522,0.134130,0.880913,external_kaggle_uci,,
hungary,kaggle,lr,external_kaggle_uci,0.393522,0.134130,0.880913,external_kaggle_uci,,
hungary,kaggle,rf,external_kaggle_uci,0.393522,0.134130,0.880913,external_kaggle_uci,,
hungary,kaggle,rf,external_kaggle_uci,0.393522,0.134130,0.880913,external_kaggle_uci,,
hungary,kaggle,xgb,external_kaggle_uci,0.393522,0.134130,0.880913,external_kaggle_uci,,
hungary,kaggle,xgb,external_kaggle_uci,0.393522,0.134130,0.880913,external_kaggle_uci,,
kaggle,cleveland,lgbm,external_kaggle_uci,0.075956,0.035929,0.873674,external_kaggle_uci,,
kaggle,cleveland,lgbm,external_kaggle_uci,0.075956,0.035929,0.873674,external_kaggle_uci,,
kaggle,cleveland,lr,external_kaggle_uci,0.075956,0.035929,0.873674,external_kaggle_uci,,
kaggle,cleveland,lr,external_kaggle_uci,0.075956,0.035929,0.873674,external_kaggle_uci,,
kaggle,cleveland,rf,external_kaggle_uci,0.075956,0.035929,0.873674,external_kaggle_uci,,
kaggle,cleveland,rf,external_kaggle_uci,0.075956,0.035929,0.873674,external_kaggle_uci,,
kaggle,cleveland,xgb,external_kaggle_uci,0.075956,0.035929,0.873674,external_kaggle_uci,,
kaggle,cleveland,xgb,external_kaggle_uci,0.075956,0.035929,0.873674,external_kaggle_uci,,
kaggle,hungary,lgbm,external_kaggle_uci,0.286285,0.134130,0.888498,external_kaggle_uci,,
kaggle,hungary,lgbm,external_kaggle_uci,0.286285,0.134130,0.888498,external_kaggle_uci,,
kaggle,hungary,lr,external_kaggle_uci,0.286285,0.134130,0.888498,external_kaggle_uci,,
kaggle,hungary,lr,external_kaggle_uci,0.286285,0.134130,0.888498,external_kaggle_uci,,
kaggle,hungary,rf,external_kaggle_uci,0.286285,0.134130,0.888498,external_kaggle_uci,,
kaggle,hungary,rf,external_kaggle_uci,0.286285,0.134130,0.888498,external_kaggle_uci,,
kaggle,hungary,xgb,external_kaggle_uci,0.286285,0.134130,0.888498,external_kaggle_uci,,
kaggle,hungary,xgb,external_kaggle_uci,0.286285,0.134130,0.888498,external_kaggle_uci,,
kaggle,switzerland,lgbm,external_kaggle_uci,0.194549,0.440285,0.850493,external_kaggle_uci,,
kaggle,switzerland,lgbm,external_kaggle_uci,0.194549,0.440285,0.850493,external_kaggle_uci,,
kaggle,switzerland,lr,external_kaggle_uci,0.194549,0.440285,0.850493,external_kaggle_uci,,
kaggle,switzerland,lr,external_kaggle_uci,0.194549,0.440285,0.850493,external_kaggle_uci,,
kaggle,switzerland,rf,external_kaggle_uci,0.194549,0.440285,0.850493,external_kaggle_uci,,
kaggle,switzerland,rf,external_kaggle_uci,0.194549,0.440285,0.850493,external_kaggle_uci,,
kaggle,switzerland,xgb,external_kaggle_uci,0.194549,0.440285,0.850493,external_kaggle_uci,,
kaggle,switzerland,xgb,external_kaggle_uci,0.194549,0.440285,0.850493,external_kaggle_uci,,
kaggle,va,lgbm,external_kaggle_uci,0.199105,0.250325,0.926675,external_kaggle_uci,,
kaggle,va,lgbm,external_kaggle_uci,0.199105,0.250325,0.926675,external_kaggle_uci,,
kaggle,va,lr,external_kaggle_uci,0.199105,0.250325,0.926675,external_kaggle_uci,,
kaggle,va,lr,external_kaggle_uci,0.199105,0.250325,0.926675,external_kaggle_uci,,
kaggle,va,rf,external_kaggle_uci,0.199105,0.250325,0.926675,external_kaggle_uci,,
kaggle,va,rf,external_kaggle_uci,0.199105,0.250325,0.926675,external_kaggle_uci,,
kaggle,va,xgb,external_kaggle_uci,0.199105,0.250325,0.926675,external_kaggle_uci,,
kaggle,va,xgb,external_kaggle_uci,0.199105,0.250325,0.926675,external_kaggle_uci,,
switzerland,kaggle,lgbm,external_kaggle_uci,0.930826,0.440285,0.846903,external_kaggle_uci,,
switzerland,kaggle,lgbm,external_kaggle_uci,0.930826,0.440285,0.846903,external_kaggle_uci,,
switzerland,kaggle,lr,external_kaggle_uci,0.930826,0.440285,0.846903,external_kaggle_uci,,
switzerland,kaggle,lr,external_kaggle_uci,0.930826,0.440285,0.846903,external_kaggle_uci,,
switzerland,kaggle,rf,external_kaggle_uci,0.930826,0.440285,0.846903,external_kaggle_uci,,
switzerland,kaggle,rf,external_kaggle_uci,0.930826,0.440285,0.846903,external_kaggle_uci,,
switzerland,kaggle,xgb,external_kaggle_uci,0.930826,0.440285,0.846903,external_kaggle_uci,,
switzerland,kaggle,xgb,external_kaggle_uci,0.930826,0.440285,0.846903,external_kaggle_uci,,
va,kaggle,lgbm,external_kaggle_uci,1.317513,0.250325,0.922212,external_kaggle_uci,,
va,kaggle,lgbm,external_kaggle_uci,1.317513,0.250325,0.922212,external_kaggle_uci,,
va,kaggle,lr,external_kaggle_uci,1.317513,0.250325,0.922212,external_kaggle_uci,,
va,kaggle,lr,external_kaggle_uci,1.317513,0.250325,0.922212,external_kaggle_uci,,
va,kaggle,rf,external_kaggle_uci,1.317513,0.250325,0.922212,external_kaggle_uci,,
va,kaggle,rf,external_kaggle_uci,1.317513,0.250325,0.922212,external_kaggle_uci,,
va,kaggle,xgb,external_kaggle_uci,1.317513,0.250325,0.922212,external_kaggle_uci,,
