method,experiment_type,experiment_variant,dataset_direction,model,brier_before,brier_after,ece_before,ece_after,mce_before,mce_after,brier_delta,ece_delta,mce_delta,experiment_id,n,brier_win,ece_win,mce_win,all_win,any_degrade,outcome,failure_category,model_family
platt,external_kaggle_uci,cfs_plus_chol,cleveland+hungary+switzerland+va__to__kaggle,lgbm,0.273349,0.239693,0.174176,0.084306,0.292695,0.128865,-0.033656,-0.089870,-0.163830,external_kaggle_uci__cfs_plus_chol__cleveland+hungary+switzerland+va__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,cleveland+hungary+switzerland+va__to__kaggle,lr,0.289497,0.241463,0.199840,0.057802,0.353968,0.130562,-0.048034,-0.142038,-0.223406,external_kaggle_uci__cfs_plus_chol__cleveland+hungary+switzerland+va__to__kaggle__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs_plus_chol,cleveland+hungary+switzerland+va__to__kaggle,rf,0.280524,0.238826,0.184539,0.057645,0.532343,0.106159,-0.041698,-0.126893,-0.426184,external_kaggle_uci__cfs_plus_chol__cleveland+hungary+switzerland+va__to__kaggle__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,cleveland+hungary+switzerland+va__to__kaggle,xgb,0.271362,0.238729,0.172973,0.069798,0.294754,0.116891,-0.032632,-0.103176,-0.177863,external_kaggle_uci__cfs_plus_chol__cleveland+hungary+switzerland+va__to__kaggle__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,cleveland__to__kaggle,lgbm,0.277143,0.236228,0.179505,0.073371,0.569200,0.146723,-0.040914,-0.106134,-0.422477,external_kaggle_uci__cfs_plus_chol__cleveland__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,cleveland__to__kaggle,lr,0.276824,0.236267,0.198532,0.092019,0.361040,0.123831,-0.040557,-0.106513,-0.237209,external_kaggle_uci__cfs_plus_chol__cleveland__to__kaggle__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs_plus_chol,cleveland__to__kaggle,rf,0.274279,0.238465,0.165849,0.054535,0.504279,0.101871,-0.035813,-0.111315,-0.402409,external_kaggle_uci__cfs_plus_chol__cleveland__to__kaggle__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,cleveland__to__kaggle,xgb,0.271835,0.238112,0.165720,0.038513,0.277656,0.082701,-0.033723,-0.127207,-0.194956,external_kaggle_uci__cfs_plus_chol__cleveland__to__kaggle__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,hungary__to__kaggle,lgbm,0.320676,0.234748,0.292688,0.095628,0.620251,0.255135,-0.085928,-0.197061,-0.365116,external_kaggle_uci__cfs_plus_chol__hungary__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs_plus_chol,hungary__to__kaggle,lr,0.267321,0.232943,0.143675,0.048320,0.143675,0.212793,-0.034378,-0.095356,0.069117,external_kaggle_uci__cfs_plus_chol__hungary__to__kaggle__lr.json,1,True,True,False,False,True,improved,success,linear
