feature,type,test,statistic,p_value,psi,train_miss_pct,test_miss_pct,diff_pct
age,continuous,ks,0.261947,0.000000,0.404610,0.000000,0.000000,0.000000
sex,categorical,chi2,60.509049,0.000000,0.000000,0.000000,0.000000,0.000000
cp,categorical,chi2,19.275496,0.000240,0.125318,0.000000,0.000000,0.000000
trestbps,continuous,ks,0.101623,0.244475,0.062826,0.000000,28.000000,28.000000
chol,continuous,ks,0.278339,0.000000,0.090330,0.000000,3.500000,3.500000
fbs,categorical,chi2,350.823860,0.000000,0.000000,0.000000,6.000000,6.000000
restecg,categorical,chi2,225.476308,0.000000,0.002023,0.000000,4.000000,4.000000
thalach,continuous,ks,1.000000,0.000000,11.514243,0.000000,26.500000,26.500000
exang,categorical,chi2,39.911781,0.000000,0.000000,0.000000,26.500000,26.500000
oldpeak,continuous,ks,0.223804,0.000088,0.263847,0.000000,28.000000,28.000000
